"variable","value","model","Sex","st"
"log_k",0.01,"Lit","M","Chirikof slope"
"log_k",0.01,"Lit","F","Southeast"
"log_k",0.01,"Lit","F","Chirikof slope"
"log_k",0.01,"Lit","M","Southeast"
"log_k",0.140653293735915,"Lit","M","Bering"
"log_k",0.01,"Lit","F","Bering"
"Linf",66.4738892493714,"Lit","F","South MTY-CPN"
"Linf",66.1137445651957,"Lit","F","North MTY-CPN"
"Linf",68.7279120278234,"Lit","M","North MTY-CPN"
"Linf",71.4571066527902,"Lit","M","South MTY-CPN"
"Linf",70.0320804533311,"Lit","M","SOUTH"
"Linf",59.0267481642938,"Lit","M","NORTH"
"Linf",63.3751477847238,"Lit","F","NORTH"
"Linf",66.9371205230606,"Lit","F","SOUTH"
"Linf",54.0667807655175,"Lit","F","Aleutians"
"Linf",73.3422062973444,"Lit","M","Aleutians"
"Linf",61.275953945549,"Lit","F","Shumagin Slope"
"Linf",63.1488896327965,"Lit","M","Shumagin Slope"
"Linf",62.9734912821788,"Lit","M","Kodiak slope"
"Linf",64.1612231574583,"Lit","F","Kodiak slope"
"Linf",61.4176214268848,"Lit","M","Chirikof slope"
"Linf",54.4627375454534,"Lit","F","Southeast"
"Linf",60.4752046619655,"Lit","F","Chirikof slope"
"Linf",58.2986627239135,"Lit","M","Southeast"
"Linf",49.8237800141251,"Lit","M","Bering"
"Linf",65.1748846839057,"Lit","F","Bering"
"Sigma",7.18243055254624,"Lit","ALL","ALL"
"t0",2.90373359636079,"Survey Strata","F","s"
"t0",0.563839271901719,"Survey Strata","F","n"
"t0",1.17077352042886,"Survey Strata","M","n"
"t0",1.23178799490829,"Survey Strata","M","s"
"t0",1.81003089442175,"Survey Strata","M","s"
"t0",1.5218078803707,"Survey Strata","M","s"
"t0",0.620387067047564,"Survey Strata","F","s"
"t0",0.79466911189766,"Survey Strata","F","n"
"t0",2.53420618371892,"Survey Strata","F","n"
"t0",1.25724983163072,"Survey Strata","M","n"
"t0",0.302585450711999,"Survey Strata","F","s"
"t0",0.607125714795903,"Survey Strata","M","n"
"t0",0.0498601565903872,"Survey Strata","M","Barkley Canyon"
"t0",0.789649958008732,"Survey Strata","M","S5"
"t0",1.31153704960361,"Survey Strata","F","Gowgaia Bay"
"t0",2.5361419941658,"Survey Strata","M","Langara Island-North Frederick"
"t0",0.391943895484769,"Survey Strata","F","Anthony Island"
"t0",2.9759753704709,"Survey Strata","M","S2"
"t0",0.504995105847817,"Survey Strata","F","Buck Point"
"t0",0.89601832086049,"Survey Strata","F","S3"
"t0",0.981577300698419,"Survey Strata","F","Dean/Burke Channel"
"t0",0.01,"Survey Strata","F","S5"
"t0",0.01,"Survey Strata","M","Esperanza Inlet"
"t0",0.640350970077874,"Survey Strata","M","Cape St. James"
"t0",2.12041599303222,"Survey Strata","F","Langara Island-North Frederick"
"t0",0.535160923567058,"Survey Strata","M","Mitchell's Gully"
"t0",0.01,"Survey Strata","M","Buck Point"
"t0",8.45508810165245,"Survey Strata","M","Quatsino Sound"
"t0",1.9807665660594,"Survey Strata","M","S1"
"t0",1.20016135453466,"Survey Strata","M","S4"
"t0",0.01,"Survey Strata","M","Triangle Island"
"t0",0.296224913730102,"Survey Strata","F","Portland Inlet"
"t0",0.985252862198308,"Survey Strata","F","S2"
"t0",3.35550944492682,"Survey Strata","F","Barkley Canyon"
"t0",0.720556880228066,"Survey Strata","F","Triangle Island"
"t0",0.703090863298173,"Survey Strata","M","Hippa Island"
"t0",0.347793363415817,"Survey Strata","M","Gowgaia Bay"
"t0",0.717594301847396,"Survey Strata","F","Finlayson Channel"
"t0",0.816082902917985,"Survey Strata","F","Cape St. James"
"t0",1.20692206860411,"Survey Strata","F","Quatsino Sound"
"t0",0.01,"Survey Strata","F","S4"
"t0",0.01,"Survey Strata","F","Esperanza Inlet"
"t0",0.214759503366704,"Survey Strata","F","S1"
"t0",1.77593519225111,"Survey Strata","F","Gil Island"
"t0",0.01,"Survey Strata","M","S3"
"t0",0.01,"Survey Strata","M","Father Charles Canyon"
"t0",5.15613606157694,"Survey Strata","F","Father Charles Canyon"
"t0",0.577437807381412,"Survey Strata","F","Mathieson Channel"
"t0",2.06677884221058,"Survey Strata","M","Langara Island"
"t0",0.01,"Survey Strata","M","Pisces Canyon"
"t0",1.05377226417957,"Survey Strata","F","Hippa Island"
"t0",1.10016976745736,"Survey Strata","F","Solander Island"
"t0",1.0873652364587,"Survey Strata","M","Gil Island"
"t0",1.60004375717932,"Survey Strata","F","Pisces Canyon"
"t0",0.337133827413002,"Survey Strata","M","Finlayson Channel"
"t0",1.06707556117132,"Survey Strata","F","Langara Island"
"t0",1.10908749543623,"Survey Strata","M","Portland Inlet"
"t0",0.943966576596193,"Survey Strata","M","Dean/Burke Channel"
"t0",0.01,"Survey Strata","M","Rennell Sound"
"t0",0.537664515020277,"Survey Strata","M","Solander Island"
"t0",0.01,"Survey Strata","M","Estevan Point"
"t0",0.212004144467994,"Survey Strata","F","Tasu Sound"
"t0",1.15386567033801,"Survey Strata","M","Frederick Island"
"t0",0.426358120620277,"Survey Strata","M","Chads Point"
"t0",0.0416273798061057,"Survey Strata","M","Tasu Sound"
"t0",1.82009697565975,"Survey Strata","F","Mitchell's Gully"
"t0",0.164127181293662,"Survey Strata","F","Frederick Island"
"t0",0.637707223684417,"Survey Strata","M","Middle Ground"
"t0",0.407750935453867,"Survey Strata","F","Rennell Sound"
"t0",0.01,"Survey Strata","F","Chads Point"
"t0",0.0205429369975143,"Survey Strata","M","Mathieson Channel"
"t0",0.562522294058119,"Survey Strata","M","Anthony Island"
"t0",2.28657493659598,"Survey Strata","F","Estevan Point"
"t0",0.367583119791709,"Survey Strata","F","Middle Ground"
"t0",0.01,"Survey Strata","F","SE Aleutians slope"
"t0",4.87742823375257,"Survey Strata","M","SE Aleutians slope"
"t0",0.122079083231006,"Survey Strata","F","Shumagin Slope"
"t0",0.902686913477557,"Survey Strata","M","Shumagin Slope"
"t0",3.84309805687386,"Survey Strata","M","Kodiak slope"
"t0",0.01,"Survey Strata","F","Kodiak slope"
"t0",0.32591977362786,"Survey Strata","M","Chirikof slope"
"t0",2.47262252414722,"Survey Strata","F","Southeast slope"
"t0",0.2397537957201,"Survey Strata","F","Chirikof slope"
"t0",0.385201584707168,"Survey Strata","M","NE Aleutians slope"
"t0",0.01,"Survey Strata","F","NE Aleutians slope"
"t0",0.66950412607786,"Survey Strata","M","Southeast slope"
"t0",0.140307165581372,"Survey Strata","M","Bering 2 slope"
"t0",1.01818070985303,"Survey Strata","F","Bering 1 slope"
"t0",0.01,"Survey Strata","F","Bering 3 slope"
"t0",0.01,"Survey Strata","M","Bering 3 slope"
"t0",0.713813947234645,"Survey Strata","M","Bering 4 slope"
"t0",0.01,"Survey Strata","F","Bering 2 slope"
"t0",0.937280929074597,"Survey Strata","F","Bering 4 slope"
"t0",0.01,"Survey Strata","M","Bering 1 slope"
"t0",3.08201901739141,"Survey Strata","F","Southeast Shelf"
"t0",0.603495405079019,"Survey Strata","M","Southeast Shelf"
"log_k",0.01,"Survey Strata","F","s"
"log_k",0.01,"Survey Strata","F","n"
"log_k",0.01,"Survey Strata","M","n"
"log_k",0.01,"Survey Strata","M","s"
"log_k",0.01,"Survey Strata","M","s"
"log_k",0.01,"Survey Strata","M","s"
"log_k",0.01,"Survey Strata","F","s"
"log_k",0.01,"Survey Strata","F","n"
"log_k",0.20458348867338,"Survey Strata","F","n"
"log_k",0.01,"Survey Strata","M","n"
"log_k",0.01,"Survey Strata","F","s"
"log_k",0.01,"Survey Strata","M","n"
"log_k",0.01,"Survey Strata","M","Barkley Canyon"
"log_k",0.01,"Survey Strata","M","S5"
"log_k",0.01,"Survey Strata","F","Gowgaia Bay"
"log_k",0.01,"Survey Strata","M","Langara Island-North Frederick"
"log_k",0.01,"Survey Strata","F","Anthony Island"
"log_k",3.98210766674956,"Survey Strata","M","S2"
"log_k",0.01,"Survey Strata","F","Buck Point"
"log_k",0.01,"Survey Strata","F","S3"
"log_k",0.01,"Survey Strata","F","Dean/Burke Channel"
"log_k",0.01,"Survey Strata","F","S5"
"log_k",0.01,"Survey Strata","M","Esperanza Inlet"
"log_k",0.01,"Survey Strata","M","Cape St. James"
"log_k",0.01,"Survey Strata","F","Langara Island-North Frederick"
"log_k",0.01,"Survey Strata","M","Mitchell's Gully"
"log_k",0.01,"Survey Strata","M","Buck Point"
"log_k",0.734667608247838,"Survey Strata","M","Quatsino Sound"
"log_k",0.01,"Survey Strata","M","S1"
"log_k",0.01,"Survey Strata","M","S4"
"log_k",0.01,"Survey Strata","M","Triangle Island"
"log_k",0.01,"Survey Strata","F","Portland Inlet"
"log_k",0.01,"Survey Strata","F","S2"
"log_k",0.01,"Survey Strata","F","Barkley Canyon"
"log_k",0.01,"Survey Strata","F","Triangle Island"
"log_k",0.01,"Survey Strata","M","Hippa Island"
"log_k",0.01,"Survey Strata","M","Gowgaia Bay"
"log_k",0.01,"Survey Strata","F","Finlayson Channel"
"log_k",0.01,"Survey Strata","F","Cape St. James"
"log_k",0.01,"Survey Strata","F","Quatsino Sound"
"log_k",0.01,"Survey Strata","F","S4"
"log_k",0.01,"Survey Strata","F","Esperanza Inlet"
"log_k",0.01,"Survey Strata","F","S1"
"log_k",0.01,"Survey Strata","F","Gil Island"
"log_k",0.01,"Survey Strata","M","S3"
"log_k",0.01,"Survey Strata","M","Father Charles Canyon"
"log_k",0.01,"Survey Strata","F","Father Charles Canyon"
"log_k",0.01,"Survey Strata","F","Mathieson Channel"
"log_k",0.01,"Survey Strata","M","Langara Island"
"log_k",0.128459809552188,"Survey Strata","M","Pisces Canyon"
"log_k",0.01,"Survey Strata","F","Hippa Island"
"log_k",0.01,"Survey Strata","F","Solander Island"
"log_k",0.01,"Survey Strata","M","Gil Island"
"log_k",0.01,"Survey Strata","F","Pisces Canyon"
"log_k",0.01,"Survey Strata","M","Finlayson Channel"
"log_k",0.01,"Survey Strata","F","Langara Island"
"log_k",0.01,"Survey Strata","M","Portland Inlet"
"log_k",0.01,"Survey Strata","M","Dean/Burke Channel"
"log_k",0.0495225677761715,"Survey Strata","M","Rennell Sound"
"log_k",0.01,"Survey Strata","M","Solander Island"
"log_k",0.01,"Survey Strata","M","Estevan Point"
"log_k",0.01,"Survey Strata","F","Tasu Sound"
"log_k",0.01,"Survey Strata","M","Frederick Island"
"log_k",5.77420792319697,"Survey Strata","M","Chads Point"
"log_k",0.01,"Survey Strata","M","Tasu Sound"
"log_k",0.439034520538814,"Survey Strata","F","Mitchell's Gully"
"log_k",0.01,"Survey Strata","F","Frederick Island"
"log_k",0.01,"Survey Strata","M","Middle Ground"
"log_k",0.01,"Survey Strata","F","Rennell Sound"
"log_k",0.01,"Survey Strata","F","Chads Point"
"log_k",3.60300550471636,"Survey Strata","M","Mathieson Channel"
"log_k",0.01,"Survey Strata","M","Anthony Island"
"log_k",0.01,"Survey Strata","F","Estevan Point"
"log_k",0.01,"Survey Strata","F","Middle Ground"
"log_k",0.0771412224269622,"Survey Strata","F","SE Aleutians slope"
"log_k",3.35040694668787,"Survey Strata","M","SE Aleutians slope"
"log_k",0.01,"Survey Strata","F","Shumagin Slope"
"log_k",0.01,"Survey Strata","M","Shumagin Slope"
"log_k",2.85675767059962,"Survey Strata","M","Kodiak slope"
"log_k",0.623909705336639,"Survey Strata","F","Kodiak slope"
"log_k",0.01,"Survey Strata","M","Chirikof slope"
"log_k",0.01,"Survey Strata","F","Southeast slope"
"log_k",0.01,"Survey Strata","F","Chirikof slope"
"log_k",0.01,"Survey Strata","M","NE Aleutians slope"
"log_k",0.01,"Survey Strata","F","NE Aleutians slope"
"log_k",0.01,"Survey Strata","M","Southeast slope"
"log_k",0.01,"Survey Strata","M","Bering 2 slope"
"log_k",0.01,"Survey Strata","F","Bering 1 slope"
"log_k",0.01,"Survey Strata","F","Bering 3 slope"
"log_k",0.107120520427008,"Survey Strata","M","Bering 3 slope"
"log_k",0.01,"Survey Strata","M","Bering 4 slope"
"log_k",3.42882882091538,"Survey Strata","F","Bering 2 slope"
"log_k",0.01,"Survey Strata","F","Bering 4 slope"
"log_k",0.01,"Survey Strata","M","Bering 1 slope"
"log_k",0.01,"Survey Strata","F","Southeast Shelf"
"log_k",0.01,"Survey Strata","M","Southeast Shelf"
"Linf",75.2527216990588,"Survey Strata","F","s"
"Linf",65.8497722697229,"Survey Strata","F","n"
"Linf",64.4136366850819,"Survey Strata","M","n"
"Linf",65.2261534404629,"Survey Strata","M","s"
"Linf",69.8525931015785,"Survey Strata","M","s"
"Linf",68.8387779840444,"Survey Strata","M","s"
"Linf",69.9076678484091,"Survey Strata","F","s"
"Linf",71.6497244080718,"Survey Strata","F","n"
"Linf",72.7863166332479,"Survey Strata","F","n"
"Linf",68.7278974054769,"Survey Strata","M","n"
"Linf",63.2479590004226,"Survey Strata","F","s"
"Linf",59.8716422225023,"Survey Strata","M","n"
"Linf",56.0751593828032,"Survey Strata","M","Barkley Canyon"
"Linf",66.4938426123059,"Survey Strata","M","S5"
"Linf",65.9701076342962,"Survey Strata","F","Gowgaia Bay"
"Linf",71.4691020260656,"Survey Strata","M","Langara Island-North Frederick"
"Linf",66.4303328197623,"Survey Strata","F","Anthony Island"
"Linf",70.4122276759415,"Survey Strata","M","S2"
"Linf",63.3431682466712,"Survey Strata","F","Buck Point"
"Linf",72.4095110087934,"Survey Strata","F","S3"
"Linf",71.6270044976683,"Survey Strata","F","Dean/Burke Channel"
"Linf",71.4571251988655,"Survey Strata","F","S5"
"Linf",79.199491832886,"Survey Strata","M","Esperanza Inlet"
"Linf",72.7582455281171,"Survey Strata","M","Cape St. James"
"Linf",70.6195709883587,"Survey Strata","F","Langara Island-North Frederick"
"Linf",63.9945028142145,"Survey Strata","M","Mitchell's Gully"
"Linf",58.2912984444854,"Survey Strata","M","Buck Point"
"Linf",78.9471219275404,"Survey Strata","M","Quatsino Sound"
"Linf",64.5039544169311,"Survey Strata","M","S1"
"Linf",65.6102998929847,"Survey Strata","M","S4"
"Linf",69.283039592335,"Survey Strata","M","Triangle Island"
"Linf",64.3202088361396,"Survey Strata","F","Portland Inlet"
"Linf",69.8792660604711,"Survey Strata","F","S2"
"Linf",72.0604843690505,"Survey Strata","F","Barkley Canyon"
"Linf",63.8396152521538,"Survey Strata","F","Triangle Island"
"Linf",66.3858427555494,"Survey Strata","M","Hippa Island"
"Linf",67.3439825396625,"Survey Strata","M","Gowgaia Bay"
"Linf",69.6965227264775,"Survey Strata","F","Finlayson Channel"
"Linf",68.0379368461738,"Survey Strata","F","Cape St. James"
"Linf",67.1246676755897,"Survey Strata","F","Quatsino Sound"
"Linf",58.6559420469192,"Survey Strata","F","S4"
"Linf",56.8744147116777,"Survey Strata","F","Esperanza Inlet"
"Linf",63.3751359959018,"Survey Strata","F","S1"
"Linf",70.8188071901884,"Survey Strata","F","Gil Island"
"Linf",63.7956404324527,"Survey Strata","M","S3"
"Linf",73.5850137698103,"Survey Strata","M","Father Charles Canyon"
"Linf",74.8906530713746,"Survey Strata","F","Father Charles Canyon"
"Linf",70.3372302918921,"Survey Strata","F","Mathieson Channel"
"Linf",66.9172574480468,"Survey Strata","M","Langara Island"
"Linf",56.9589021023817,"Survey Strata","M","Pisces Canyon"
"Linf",61.6606443378135,"Survey Strata","F","Hippa Island"
"Linf",63.4404603175304,"Survey Strata","F","Solander Island"
"Linf",65.5778868135394,"Survey Strata","M","Gil Island"
"Linf",64.5428756455743,"Survey Strata","F","Pisces Canyon"
"Linf",61.9540047154497,"Survey Strata","M","Finlayson Channel"
"Linf",62.6312928387869,"Survey Strata","F","Langara Island"
"Linf",62.0941882763386,"Survey Strata","M","Portland Inlet"
"Linf",62.9735142116925,"Survey Strata","M","Dean/Burke Channel"
"Linf",56.5051000151892,"Survey Strata","M","Rennell Sound"
"Linf",55.4704598489326,"Survey Strata","M","Solander Island"
"Linf",51.9556177684666,"Survey Strata","M","Estevan Point"
"Linf",57.6485115486071,"Survey Strata","F","Tasu Sound"
"Linf",57.562239812315,"Survey Strata","M","Frederick Island"
"Linf",61.5563714916853,"Survey Strata","M","Chads Point"
"Linf",59.2922567285367,"Survey Strata","M","Tasu Sound"
"Linf",60.2287711228498,"Survey Strata","F","Mitchell's Gully"
"Linf",56.0193306596695,"Survey Strata","F","Frederick Island"
"Linf",64.1752208776476,"Survey Strata","M","Middle Ground"
"Linf",63.5261106952482,"Survey Strata","F","Rennell Sound"
"Linf",64.1612287363096,"Survey Strata","F","Chads Point"
"Linf",62.0776626532994,"Survey Strata","M","Mathieson Channel"
"Linf",62.4809587854414,"Survey Strata","M","Anthony Island"
"Linf",58.9464938518064,"Survey Strata","F","Estevan Point"
"Linf",57.5483044535266,"Survey Strata","F","Middle Ground"
"Linf",53.1615175190651,"Survey Strata","F","SE Aleutians slope"
"Linf",57.11870064756,"Survey Strata","M","SE Aleutians slope"
"Linf",56.5529016834,"Survey Strata","F","Shumagin Slope"
"Linf",60.9891810403275,"Survey Strata","M","Shumagin Slope"
"Linf",61.2353054800006,"Survey Strata","M","Kodiak slope"
"Linf",55.443381780089,"Survey Strata","F","Kodiak slope"
"Linf",59.0398651663677,"Survey Strata","M","Chirikof slope"
"Linf",63.0034625950213,"Survey Strata","F","Southeast slope"
"Linf",57.2052407014578,"Survey Strata","F","Chirikof slope"
"Linf",58.9009870750504,"Survey Strata","M","NE Aleutians slope"
"Linf",58.766501824394,"Survey Strata","F","NE Aleutians slope"
"Linf",62.2739141054812,"Survey Strata","M","Southeast slope"
"Linf",59.3038484005864,"Survey Strata","M","Bering 2 slope"
"Linf",61.6297667440118,"Survey Strata","F","Bering 1 slope"
"Linf",54.4580081853836,"Survey Strata","F","Bering 3 slope"
"Linf",52.3543237612684,"Survey Strata","M","Bering 3 slope"
"Linf",60.4752960522183,"Survey Strata","M","Bering 4 slope"
"Linf",59.9810226590327,"Survey Strata","F","Bering 2 slope"
"Linf",60.510778628848,"Survey Strata","F","Bering 4 slope"
"Linf",65.2605633860309,"Survey Strata","M","Bering 1 slope"
"Linf",66.5593590172784,"Survey Strata","F","Southeast Shelf"
"Linf",61.5083884894241,"Survey Strata","M","Southeast Shelf"
"Sigma",7.00677883496698,"Survey Strata","ALL","ALL"
